person_age,person_gender,person_education,person_state,person_income,person_emp_status,person_emp_exp,person_home_ownership,help_debt_amount,loan_amnt,loan_intent,loan_term_months,loan_int_rate,loan_percent_income,credit_history_length,credit_score,previous_loan_defaults_on_file,loan_status,flag_income_loan_mismatch,flag_young_high_loan
48,MALE,DOCTORATE,SA,81126,FULL-TIME,13,MORTGAGE,0,11100,VEHICLE,60,20.97,0.136824199393536,28,733,YES,0,0,0
52,MALE,BACHELOR,NSW,49396,SELF-EMPLOYED,15,MORTGAGE,0,11200,DEBT_CONSOLIDATION,36,13.39,0.2267390072070613,31,808,YES,0,0,0
61,MALE,BACHELOR,NT,46760,SELF-EMPLOYED,19,FAMILY,26243,8500,HOME_IMPROVEMENT,36,16.04,0.1817792985457656,42,812,NO,0,0,0
35,MALE,HIGH SCHOOL,SA,68303,CASUAL,2,RENT,0,10300,PERSONAL,48,15.96,0.15079864720436878,15,500,NO,1,0,0
28,MALE,CERTIFICATE/DIPLOMA,QLD,143001,FULL-TIME,6,MORTGAGE,0,10000,EDUCATION,24,18.1,0.06992958091202159,6,790,NO,1,0,0
43,FEMALE,HIGH SCHOOL,VIC,58959,FULL-TIME,2,MORTGAGE,0,3400,VEHICLE,36,11.06,0.057667192455774355,22,808,NO,1,0,0
44,FEMALE,BACHELOR,VIC,111442,SELF-EMPLOYED,7,MORTGAGE,31296,9700,MEDICAL,48,11.93,0.08704079251987581,26,874,NO,1,0,0
25,FEMALE,POSTGRADUATE,QLD,39953,PART-TIME,1,OWN,0,14700,VEHICLE,36,18.48,0.36793232047655994,6,909,NO,0,0,0
35,FEMALE,CERTIFICATE/DIPLOMA,QLD,49257,PART-TIME,15,OWN,18308,51900,DEBT_CONSOLIDATION,72,11.24,1.0536573481941653,16,696,NO,0,1,0
59,FEMALE,BACHELOR,VIC,61139,UNEMPLOYED,3,MORTGAGE,0,26500,VEHICLE,48,13.63,0.43343855803987635,38,772,YES,0,0,0
67,FEMALE,CERTIFICATE/DIPLOMA,QLD,66305,SELF-EMPLOYED,12,RENT,43504,13200,PERSONAL,60,16.94,0.19908000904909132,48,630,YES,0,0,0
20,MALE,CERTIFICATE/DIPLOMA,QLD,29690,FULL-TIME,2,MORTGAGE,0,8500,MEDICAL,60,14.63,0.2862916807005726,2,703,NO,1,0,0
32,MALE,CERTIFICATE/DIPLOMA,QLD,76619,FULL-TIME,6,RENT,0,6900,VEHICLE,48,16.15,0.09005599133374229,13,906,NO,1,0,0
44,MALE,BACHELOR,VIC,107091,FULL-TIME,7,MORTGAGE,0,48100,EDUCATION,48,9.7,0.44915072228291825,26,943,NO,1,0,0
36,MALE,BACHELOR,NSW,159208,FULL-TIME,7,MORTGAGE,19272,12400,DEBT_CONSOLIDATION,24,8.76,0.0778855333902819,18,687,NO,1,0,0
30,MALE,CERTIFICATE/DIPLOMA,QLD,75882,PART-TIME,3,RENT,0,4800,VEHICLE,48,16.0,0.06325610816794497,9,636,NO,1,0,0
41,FEMALE,HIGH SCHOOL,NSW,70097,FULL-TIME,16,MORTGAGE,0,24500,MEDICAL,48,16.37,0.3495156711414183,19,977,NO,1,0,0
29,FEMALE,POSTGRADUATE,SA,50998,SELF-EMPLOYED,9,RENT,0,58000,DEBT_CONSOLIDATION,12,10.55,1.1372995019412526,7,617,NO,0,1,0
53,MALE,CERTIFICATE/DIPLOMA,NSW,69639,FULL-TIME,13,MORTGAGE,0,17200,DEBT_CONSOLIDATION,60,15.47,0.24698803831186547,32,598,NO,0,0,0
67,FEMALE,HIGH SCHOOL,NSW,51520,SELF-EMPLOYED,7,FAMILY,0,5500,MEDICAL,72,14.94,0.10675465838509317,47,689,NO,1,0,0
61,FEMALE,CERTIFICATE/DIPLOMA,WA,74281,SELF-EMPLOYED,16,MORTGAGE,0,15900,HOME_IMPROVEMENT,24,16.63,0.21405204561058683,43,932,NO,0,0,0
36,FEMALE,BACHELOR,QLD,21000,FULL-TIME,2,MORTGAGE,0,9800,VEHICLE,60,16.32,0.4666666666666667,17,910,NO,1,0,0
51,MALE,HIGH SCHOOL,VIC,60382,PART-TIME,4,OWN,0,20700,MEDICAL,36,9.38,0.3428173959126892,30,651,NO,1,0,0
34,MALE,HIGH SCHOOL,NSW,69713,SELF-EMPLOYED,13,MORTGAGE,0,15800,HOME_IMPROVEMENT,36,16.3,0.22664352416335548,14,419,NO,0,0,0
37,NON-BINARY,HIGH SCHOOL,NSW,49520,UNEMPLOYED,3,MORTGAGE,0,4700,VEHICLE,36,5.5,0.09491114701130857,19,482,NO,0,0,0
56,MALE,BACHELOR,VIC,47481,FULL-TIME,19,MORTGAGE,0,15300,PERSONAL,24,11.27,0.322234156820623,34,730,NO,0,0,0
41,FEMALE,BACHELOR,NSW,46462,SELF-EMPLOYED,3,RENT,6950,39500,DEBT_CONSOLIDATION,12,17.67,0.8501571176445267,20,992,NO,1,1,0
66,MALE,BACHELOR,WA,118927,SELF-EMPLOYED,2,RENT,0,27900,VEHICLE,24,7.1,0.2345976943839498,47,507,YES,0,0,0
61,MALE,HIGH SCHOOL,QLD,32361,FULL-TIME,9,MORTGAGE,0,6500,VEHICLE,36,18.51,0.20085905874354934,42,607,NO,1,0,0
44,MALE,BACHELOR,VIC,38998,PART-TIME,6,OWN,12352,15500,VEHICLE,24,16.26,0.397456279809221,25,797,YES,0,0,0
75,FEMALE,POSTGRADUATE,VIC,143431,FULL-TIME,7,MORTGAGE,0,13800,DEBT_CONSOLIDATION,60,21.94,0.09621351032900838,53,587,NO,1,0,0
52,FEMALE,POSTGRADUATE,WA,42935,FULL-TIME,12,RENT,0,8500,DEBT_CONSOLIDATION,84,19.17,0.19797368114591826,31,1030,NO,0,0,0
46,MALE,HIGH SCHOOL,NSW,52146,FULL-TIME,10,MORTGAGE,0,16600,DEBT_CONSOLIDATION,24,19.25,0.31833697694933455,26,446,YES,0,0,0
60,MALE,CERTIFICATE/DIPLOMA,WA,44647,FULL-TIME,9,RENT,0,16300,PERSONAL,36,11.49,0.36508612000806323,42,625,NO,1,0,0
58,FEMALE,BACHELOR,VIC,43837,FULL-TIME,11,RENT,0,17600,VEHICLE,24,19.5,0.40148732805620824,40,1186,NO,1,0,0
25,FEMALE,BACHELOR,TAS,33234,FULL-TIME,5,RENT,0,5500,MEDICAL,36,19.73,0.16549316964554373,6,888,NO,1,0,0
36,FEMALE,CERTIFICATE/DIPLOMA,QLD,42972,FULL-TIME,14,OWN,0,24200,DEBT_CONSOLIDATION,12,9.12,0.5631574048217444,14,1041,YES,0,1,0
61,FEMALE,CERTIFICATE/DIPLOMA,NSW,56175,PART-TIME,13,OWN,0,17100,VEHICLE,48,11.64,0.30440587449933243,43,798,NO,0,0,0
55,FEMALE,HIGH SCHOOL,WA,20181,SELF-EMPLOYED,6,FAMILY,0,15900,VEHICLE,24,13.12,0.787869778504534,37,599,NO,0,1,0
42,FEMALE,CERTIFICATE/DIPLOMA,WA,34221,FULL-TIME,8,OTHER,0,13500,DEBT_CONSOLIDATION,24,16.13,0.39449460857368285,22,581,NO,0,0,0
49,MALE,POSTGRADUATE,QLD,20000,FULL-TIME,5,OWN,0,53900,VEHICLE,48,5.73,2.695,31,1082,YES,0,1,0
49,MALE,CERTIFICATE/DIPLOMA,QLD,56167,UNEMPLOYED,27,RENT,0,18200,VEHICLE,12,16.56,0.3240336852600281,27,628,NO,0,0,0
36,MALE,CERTIFICATE/DIPLOMA,VIC,26145,FULL-TIME,11,MORTGAGE,0,29300,VEHICLE,24,11.88,1.12067316886594,16,838,NO,0,1,0
62,MALE,CERTIFICATE/DIPLOMA,VIC,68665,FULL-TIME,13,RENT,22198,5800,PERSONAL,60,12.2,0.08446806961334014,43,719,NO,1,0,0
45,MALE,HIGH SCHOOL,NSW,27325,PART-TIME,12,RENT,0,38000,VEHICLE,72,11.5,1.3906678865507778,25,908,NO,1,1,0
31,FEMALE,BACHELOR,NSW,40345,FULL-TIME,4,MORTGAGE,28129,39600,VEHICLE,48,17.05,0.9815342669475772,13,796,NO,1,1,0
44,FEMALE,HIGH SCHOOL,VIC,62998,SELF-EMPLOYED,5,RENT,0,17000,HOME_IMPROVEMENT,24,17.38,0.26984983650274613,23,783,NO,0,0,0
35,FEMALE,HIGH SCHOOL,NSW,34041,CASUAL,8,RENT,0,17500,HOLIDAY,72,20.92,0.5140859551717047,15,756,NO,0,1,0
54,FEMALE,BACHELOR,QLD,37481,FULL-TIME,11,RENT,15741,21700,VEHICLE,36,14.05,0.5789600064032443,35,838,YES,1,1,0
55,MALE,BACHELOR,QLD,47811,SELF-EMPLOYED,5,RENT,26935,21000,VEHICLE,48,15.24,0.43922946602246343,37,833,NO,1,0,0
57,MALE,BACHELOR,VIC,34847,CASUAL,11,MORTGAGE,0,51000,PERSONAL,48,13.28,1.4635406204264356,35,541,NO,0,1,0
33,MALE,HIGH SCHOOL,NSW,26260,FULL-TIME,5,MORTGAGE,0,11100,VEHICLE,48,11.87,0.4226961157654227,12,730,NO,1,0,0
42,FEMALE,CERTIFICATE/DIPLOMA,NSW,60707,SELF-EMPLOYED,7,RENT,34163,7000,VEHICLE,24,14.06,0.11530795460161102,21,780,YES,1,0,0
27,MALE,CERTIFICATE/DIPLOMA,QLD,31336,FULL-TIME,9,MORTGAGE,0,17400,DEBT_CONSOLIDATION,24,14.23,0.5552718917538932,7,623,YES,1,1,0
57,MALE,BACHELOR,NSW,78269,FULL-TIME,4,MORTGAGE,22163,75000,EDUCATION,72,17.52,0.9582337834902708,39,742,NO,0,1,0
53,MALE,CERTIFICATE/DIPLOMA,SA,55634,PART-TIME,3,RENT,0,21400,EDUCATION,36,20.94,0.3846568645073157,34,803,NO,1,0,0
34,FEMALE,CERTIFICATE/DIPLOMA,VIC,73921,CASUAL,8,MORTGAGE,0,29400,VEHICLE,48,13.98,0.39772189229041816,13,567,NO,0,0,0
46,MALE,POSTGRADUATE,QLD,39945,PART-TIME,23,MORTGAGE,0,34300,MEDICAL,12,13.15,0.8586806859431718,28,1028,YES,1,1,0
44,FEMALE,CERTIFICATE/DIPLOMA,VIC,213224,UNEMPLOYED,1,MORTGAGE,0,15200,HOLIDAY,36,9.65,0.07128653434885379,22,1067,YES,0,0,0
40,MALE,POSTGRADUATE,VIC,70737,PART-TIME,7,MORTGAGE,23751,59800,HOME_IMPROVEMENT,48,10.01,0.8453850177417759,20,749,YES,0,1,0
44,MALE,BACHELOR,WA,70951,FULL-TIME,5,MORTGAGE,10226,19500,HOME_IMPROVEMENT,24,8.45,0.274837563952587,22,603,NO,0,0,0
43,MALE,HIGH SCHOOL,NSW,44412,FULL-TIME,13,MORTGAGE,0,5600,VEHICLE,60,14.48,0.12609204719445194,21,576,NO,1,0,0
49,FEMALE,BACHELOR,VIC,105400,FULL-TIME,16,OWN,0,42800,VEHICLE,60,21.73,0.4060721062618596,27,976,NO,1,0,0
58,MALE,BACHELOR,NSW,99505,FULL-TIME,14,FAMILY,0,18300,HOLIDAY,60,21.09,0.18391035626350435,38,852,NO,1,0,0
37,FEMALE,POSTGRADUATE,NSW,56146,FULL-TIME,16,RENT,0,34500,DEBT_CONSOLIDATION,24,13.31,0.6144694190147116,18,662,YES,0,1,0
37,MALE,BACHELOR,QLD,92495,PART-TIME,5,MORTGAGE,64126,15300,VEHICLE,24,9.17,0.1654143467214444,17,673,NO,0,0,0
34,FEMALE,BACHELOR,VIC,44516,PART-TIME,3,OTHER,9813,8300,PERSONAL,36,14.31,0.18644981579656753,12,858,YES,0,0,0
47,MALE,CERTIFICATE/DIPLOMA,NT,51415,FULL-TIME,7,OWN,0,9200,VEHICLE,48,11.34,0.17893610813964797,28,647,NO,1,0,0
39,MALE,BACHELOR,NSW,20000,CASUAL,4,OWN,0,37000,DEBT_CONSOLIDATION,36,13.88,1.85,19,606,NO,0,1,0
28,MALE,BACHELOR,VIC,80890,UNEMPLOYED,4,OWN,0,15500,EDUCATION,24,9.85,0.19161824700210162,6,557,NO,0,0,0
46,MALE,CERTIFICATE/DIPLOMA,SA,159799,FULL-TIME,0,MORTGAGE,31811,14600,EDUCATION,72,13.79,0.09136477700110764,25,507,NO,1,0,0
53,MALE,HIGH SCHOOL,NSW,208162,CASUAL,18,RENT,0,11100,VEHICLE,48,9.07,0.053323853537148955,31,800,NO,1,0,0
31,FEMALE,BACHELOR,SA,43117,UNEMPLOYED,2,MORTGAGE,0,6800,VEHICLE,60,13.94,0.15771041584525824,13,568,NO,1,0,0
61,MALE,BACHELOR,VIC,25483,PART-TIME,7,OWN,0,23700,DEBT_CONSOLIDATION,72,13.92,0.9300317858964801,42,678,NO,0,1,0
36,MALE,BACHELOR,NSW,36936,FULL-TIME,18,MORTGAGE,0,39400,VEHICLE,60,10.17,1.0667099848386399,14,936,NO,1,1,0
75,FEMALE,BACHELOR,VIC,78029,PART-TIME,1,OTHER,0,6000,VEHICLE,24,11.01,0.07689448794678902,55,723,NO,1,0,0
50,MALE,BACHELOR,QLD,101683,UNEMPLOYED,10,RENT,0,5300,VEHICLE,36,15.15,0.052122773718320664,30,844,NO,0,0,0
36,FEMALE,BACHELOR,QLD,28029,SELF-EMPLOYED,7,FAMILY,21724,16900,MEDICAL,48,12.88,0.6029469478040601,14,653,NO,0,1,0
45,MALE,CERTIFICATE/DIPLOMA,VIC,31933,CASUAL,12,MORTGAGE,0,8300,DEBT_CONSOLIDATION,36,13.73,0.25991920583722167,27,572,YES,0,0,0
59,MALE,HIGH SCHOOL,VIC,127122,FULL-TIME,10,OWN,0,10100,MEDICAL,60,14.09,0.07945123582070766,41,749,NO,1,0,0
49,FEMALE,BACHELOR,SA,125380,SELF-EMPLOYED,1,MORTGAGE,0,15500,VEHICLE,36,15.09,0.12362418248524486,29,1082,YES,0,0,0
75,MALE,CERTIFICATE/DIPLOMA,VIC,40926,FULL-TIME,6,RENT,0,22700,PERSONAL,36,12.42,0.5546596295753311,56,768,NO,0,1,0
48,MALE,CERTIFICATE/DIPLOMA,NSW,41616,FULL-TIME,2,MORTGAGE,24964,8800,MEDICAL,36,5.69,0.2114571318723568,27,863,YES,0,0,0
56,FEMALE,BACHELOR,NSW,23177,UNEMPLOYED,21,MORTGAGE,5727,20400,HOME_IMPROVEMENT,60,17.01,0.8801829399836044,38,945,NO,0,1,0
46,MALE,HIGH SCHOOL,SA,81649,FULL-TIME,20,MORTGAGE,0,5500,VEHICLE,24,14.82,0.06736151085745079,28,493,NO,0,0,0
38,FEMALE,DOCTORATE,QLD,25449,SELF-EMPLOYED,6,OWN,32818,31100,VEHICLE,36,13.2,1.2220519470313176,16,650,NO,0,1,0
28,FEMALE,HIGH SCHOOL,NSW,62580,SELF-EMPLOYED,5,OWN,0,24500,VEHICLE,72,13.17,0.39149888143176736,7,652,NO,0,0,0
61,MALE,HIGH SCHOOL,VIC,31670,FULL-TIME,10,RENT,0,8300,VEHICLE,36,14.39,0.26207767603410165,39,547,NO,0,0,0
31,MALE,HIGH SCHOOL,NSW,91326,PART-TIME,5,RENT,0,7900,VEHICLE,60,13.48,0.08650329588507107,13,625,NO,1,0,0
35,FEMALE,POSTGRADUATE,VIC,43951,SELF-EMPLOYED,6,MORTGAGE,0,11000,VEHICLE,24,13.99,0.2502787194830607,15,617,YES,0,0,0
31,MALE,CERTIFICATE/DIPLOMA,VIC,43295,SELF-EMPLOYED,6,OWN,0,64900,HOME_IMPROVEMENT,60,16.65,1.4990183623975055,11,914,NO,1,1,0
35,FEMALE,CERTIFICATE/DIPLOMA,QLD,48939,PART-TIME,15,RENT,20057,18800,DEBT_CONSOLIDATION,84,15.39,0.38415169905392427,14,500,YES,0,0,0
47,MALE,POSTGRADUATE,WA,39347,FULL-TIME,2,RENT,0,12600,MEDICAL,36,10.43,0.32022771748799145,28,880,NO,1,0,0
54,FEMALE,POSTGRADUATE,QLD,30731,UNEMPLOYED,12,RENT,28264,28000,VEHICLE,72,13.24,0.9111320816114021,35,871,NO,0,1,0
41,MALE,BACHELOR,VIC,76901,PART-TIME,7,MORTGAGE,28811,29200,DEBT_CONSOLIDATION,60,16.36,0.3797089764762487,22,843,NO,1,0,0
46,MALE,HIGH SCHOOL,VIC,20205,FULL-TIME,24,MORTGAGE,0,19800,DEBT_CONSOLIDATION,72,15.29,0.9799554565701559,24,729,NO,1,1,0
45,MALE,HIGH SCHOOL,NSW,62949,FULL-TIME,12,MORTGAGE,0,10600,DEBT_CONSOLIDATION,36,12.62,0.16839028419831928,27,696,NO,0,0,0
45,MALE,DOCTORATE,QLD,65639,FULL-TIME,3,MORTGAGE,13310,20500,HOLIDAY,24,7.37,0.31231432532488307,25,801,NO,0,0,0
43,FEMALE,BACHELOR,SA,52304,FULL-TIME,9,MORTGAGE,0,12300,DEBT_CONSOLIDATION,36,16.46,0.2351636586111961,25,790,YES,1,0,0
41,FEMALE,BACHELOR,QLD,62940,FULL-TIME,12,MORTGAGE,0,16900,DEBT_CONSOLIDATION,36,8.69,0.2685096917699396,22,441,NO,0,0,0
43,MALE,BACHELOR,NSW,73496,PART-TIME,10,OWN,12638,14100,DEBT_CONSOLIDATION,36,12.56,0.191847175356482,25,175,NO,1,0,0
32,MALE,CERTIFICATE/DIPLOMA,SA,47290,FULL-TIME,3,MORTGAGE,0,11600,EDUCATION,36,10.07,0.24529498836963418,10,988,NO,1,0,0
42,FEMALE,BACHELOR,SA,53585,FULL-TIME,2,OTHER,5000,31000,VEHICLE,60,19.02,0.578520108239246,20,1016,YES,1,1,0
52,FEMALE,HIGH SCHOOL,NSW,27628,SELF-EMPLOYED,0,OWN,0,36000,EDUCATION,36,18.32,1.3030259157376574,31,1016,NO,0,1,0
34,FEMALE,BACHELOR,VIC,95989,FULL-TIME,12,OWN,0,12200,HOME_IMPROVEMENT,36,14.76,0.12709789663398932,13,830,NO,1,0,0
35,FEMALE,BACHELOR,NSW,44870,FULL-TIME,8,RENT,13534,15400,DEBT_CONSOLIDATION,24,16.32,0.34321372854914195,15,606,NO,1,0,0
39,FEMALE,HIGH SCHOOL,WA,118010,SELF-EMPLOYED,11,RENT,0,19800,VEHICLE,48,15.19,0.16778239132276926,18,832,YES,0,0,0
44,FEMALE,BACHELOR,WA,80801,SELF-EMPLOYED,15,OWN,16394,15900,VEHICLE,60,11.83,0.19677974282496505,26,939,NO,1,0,0
36,FEMALE,CERTIFICATE/DIPLOMA,ACT,77898,FULL-TIME,9,MORTGAGE,0,24300,MEDICAL,36,14.38,0.3119463914349534,18,677,NO,1,0,0
45,MALE,CERTIFICATE/DIPLOMA,QLD,48693,FULL-TIME,18,MORTGAGE,0,18300,VEHICLE,60,10.29,0.375824040416487,26,787,NO,0,0,0
42,MALE,HIGH SCHOOL,WA,68059,PART-TIME,18,RENT,0,18500,MEDICAL,60,9.4,0.2718229771227905,24,489,NO,0,0,0
39,MALE,CERTIFICATE/DIPLOMA,VIC,20000,PART-TIME,5,MORTGAGE,0,19100,DEBT_CONSOLIDATION,36,14.13,0.955,20,745,NO,0,1,0
39,FEMALE,HIGH SCHOOL,QLD,53991,PART-TIME,7,RENT,0,16800,VEHICLE,36,16.35,0.31116297160637885,19,770,YES,0,0,0
47,MALE,BACHELOR,NSW,66220,FULL-TIME,13,RENT,0,5800,HOME_IMPROVEMENT,84,9.82,0.08758683177287828,29,727,NO,0,0,0
39,MALE,HIGH SCHOOL,NSW,74551,FULL-TIME,10,RENT,0,48000,VEHICLE,84,14.5,0.643854542527934,20,870,NO,0,1,0
51,FEMALE,POSTGRADUATE,NSW,78510,PART-TIME,3,MORTGAGE,14413,4800,EDUCATION,36,11.32,0.061138708444784105,29,438,NO,1,0,0
41,MALE,BACHELOR,WA,71657,PART-TIME,6,RENT,0,9300,HOME_IMPROVEMENT,60,11.56,0.12978494773713664,22,790,YES,1,0,0
37,FEMALE,BACHELOR,NSW,51260,FULL-TIME,8,OTHER,0,8400,DEBT_CONSOLIDATION,24,10.14,0.16387046429964885,17,708,YES,0,0,0
51,FEMALE,BACHELOR,QLD,119957,FULL-TIME,13,RENT,0,13300,HOME_IMPROVEMENT,84,10.06,0.11087306284752037,30,672,YES,1,0,0
33,MALE,HIGH SCHOOL,WA,81480,SELF-EMPLOYED,12,RENT,0,10700,VEHICLE,36,14.39,0.13132056946489937,11,775,YES,0,0,0
75,MALE,BACHELOR,NSW,79825,UNEMPLOYED,4,OWN,0,26700,VEHICLE,36,16.02,0.3344816786720952,56,795,YES,0,0,0
57,MALE,POSTGRADUATE,NSW,25518,FULL-TIME,15,FAMILY,0,9600,EDUCATION,48,13.35,0.3762050317422996,38,778,NO,1,0,0
52,FEMALE,CERTIFICATE/DIPLOMA,QLD,41510,PART-TIME,7,FAMILY,0,53400,HOME_IMPROVEMENT,12,15.6,1.2864370031317756,31,761,NO,1,1,0
31,MALE,BACHELOR,TAS,56948,FULL-TIME,8,MORTGAGE,0,16000,DEBT_CONSOLIDATION,12,13.32,0.28095806700849896,12,747,NO,0,0,0
46,FEMALE,CERTIFICATE/DIPLOMA,NSW,62516,PART-TIME,3,RENT,0,38900,HOLIDAY,72,13.22,0.622240706379167,27,530,NO,0,1,0
52,MALE,HIGH SCHOOL,VIC,39425,FULL-TIME,12,MORTGAGE,0,28500,DEBT_CONSOLIDATION,48,10.82,0.7228915662650602,30,677,NO,1,1,0
36,MALE,BACHELOR,VIC,47515,CASUAL,5,MORTGAGE,0,20500,PERSONAL,48,16.37,0.4314427023045354,15,504,NO,0,0,0
36,MALE,BACHELOR,NSW,20000,CASUAL,7,OTHER,30702,16400,MEDICAL,60,8.0,0.82,18,559,YES,0,1,0
54,MALE,BACHELOR,QLD,38310,SELF-EMPLOYED,2,RENT,0,5600,DEBT_CONSOLIDATION,60,8.5,0.14617593317671626,33,881,NO,1,0,0
43,FEMALE,CERTIFICATE/DIPLOMA,NSW,44295,FULL-TIME,14,MORTGAGE,32008,16600,HOME_IMPROVEMENT,84,11.05,0.3747601309402867,23,1019,NO,1,0,0
33,NON-BINARY,HIGH SCHOOL,QLD,56583,PART-TIME,3,RENT,0,39500,VEHICLE,48,9.33,0.6980895321916477,15,455,NO,0,1,0
36,MALE,CERTIFICATE/DIPLOMA,WA,69467,FULL-TIME,9,MORTGAGE,0,8800,EDUCATION,24,12.62,0.12667885470799084,17,710,YES,1,0,0
45,FEMALE,POSTGRADUATE,NSW,127378,PART-TIME,5,MORTGAGE,16155,15000,HOME_IMPROVEMENT,72,5.5,0.117759738730393,24,932,NO,1,0,0
36,FEMALE,BACHELOR,QLD,67057,FULL-TIME,11,OTHER,27012,11800,DEBT_CONSOLIDATION,60,16.43,0.17596969742159654,18,985,YES,1,0,0
34,MALE,HIGH SCHOOL,SA,84173,SELF-EMPLOYED,4,MORTGAGE,0,10500,DEBT_CONSOLIDATION,36,15.35,0.1247430886388747,15,682,NO,1,0,0
29,FEMALE,POSTGRADUATE,NSW,105337,FULL-TIME,4,RENT,17832,6800,VEHICLE,24,12.08,0.06455471486752043,10,736,NO,1,0,0
61,MALE,POSTGRADUATE,VIC,53516,FULL-TIME,4,OWN,0,5000,HOME_IMPROVEMENT,36,16.12,0.09343000224232005,42,597,NO,1,0,0
49,MALE,CERTIFICATE/DIPLOMA,NSW,35384,PART-TIME,5,RENT,0,12600,VEHICLE,36,11.22,0.35609314944607734,27,648,YES,0,0,0
38,MALE,POSTGRADUATE,NSW,58400,PART-TIME,6,RENT,0,31800,DEBT_CONSOLIDATION,36,13.5,0.5445205479452054,17,677,NO,0,1,0
51,MALE,CERTIFICATE/DIPLOMA,VIC,66531,FULL-TIME,6,RENT,0,24400,HOME_IMPROVEMENT,36,16.39,0.3667463287790654,33,787,YES,0,0,0
39,FEMALE,HIGH SCHOOL,TAS,36048,FULL-TIME,6,MORTGAGE,0,14800,VEHICLE,36,22.22,0.4105636928539725,19,789,NO,1,0,0
36,MALE,BACHELOR,VIC,68986,FULL-TIME,8,OTHER,0,15800,HOLIDAY,36,13.79,0.2290319775026817,15,927,YES,1,0,0
